"","RDA1","RDA2","RDA3","RDA4"
"Agl",-0.588599315117134,-2.26179091306021,1.24101189757364,-1.47910081717158
"Dbr",0.708698938895384,-0.837224958105454,2.01276146229366,-3.04322386773734
"Ezo",-1.03187848646985,1.24886121383864,0.864113694225862,-1.65258839023073
"Gde",-2.73869959747029,0.150307948957068,1.02280049510284,-0.151827887024952
"Oau",3.27968087142667,-1.04069349635512,-0.220619612362766,-0.750411108533322
"Omo",-0.0815142422324765,0.715903771264424,0.400292347633229,0.28145231331342
"Orh",-0.322956047075128,0.0787141460225866,-0.787866737301444,-1.3208935033533
"Osi",-0.75866905334211,1.10871940597272,0.573373437526941,-1.29133543216645
"Ram",1.00998007640427,0.333003051669952,0.26953091222362,-0.21226088387669
"Rse",-0.867018377737885,-0.555815810586063,1.12310420022217,1.22897625493678
"Tec",0.0120762680372206,0.250519308208356,0.308154707305396,0.0971204580909683
"Tle",1.035973132033,0.335485497088775,3.27714576292204,2.03389005264782
"Tni",1.88688158023711,-0.987002749646159,1.95683949142098,-0.408708134680368
"Tro",-0.116885451190468,-0.0465611734271044,2.1123411208329,-0.229093466805807
"Dle",-0.111883475454499,0.0437741903698802,0.290797435628932,0.176797360435003
"Etr",-0.000992158430838918,-0.993160443203501,-0.778565932558991,0.748158592034427
"Gfl",-1.22046547640156,-0.834970550934709,0.213930783762393,0.110788513861868
"Gsp",-1.12022930713168,-1.59031530552044,0.470822368355918,-0.859803375993114
"Nsc",-0.974443384385539,-0.561660511740533,-0.400478825140471,2.76533909916297
"Pbi",-0.930348563718979,-1.17235885497148,0.286762932067842,0.226702898858312
"Pbr",-0.0338044320534216,-0.0115629421259429,0.0694470578460371,0.0515477534090225
"Pha",-1.92862292557942,-3.29998339480603,-1.62306061052676,-1.34034821085742
"Stu",-0.0144796629694265,0.21557484461421,0.556590370968332,-0.7076084838647
"Kgl",-0.87331226803383,-0.295462119411877,0.0348460494281843,0.906111391201533
"Oro",-0.240654839213123,0.193260995585012,0.119780298379629,0.417278629652903
"Tor",0.0421930787645419,-0.33470613843012,0.395805732066297,0.161609060539677
"Cdi",-0.516016363043361,0.264351762120027,0.23765342177651,-0.393921776272114
