"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9"
"Agl",1.0004785794748,-0.113505127253342,-0.959914952374243,0.953908251262534,2.20646627340749,-0.790065355305812,0.888216554857688,-0.347695298925196,0.396424549126286
"Dbr",0.831352383304193,-1.27653463926887,0.0672019548823919,0.0643831125089394,-1.11089396283107,-0.879523104753513,0.174017481622491,2.19000296542896,-0.148497125550415
"Ezo",0.530801591727008,0.560134505901632,-0.166630509254689,0.0676221437896099,-0.572565517205643,-0.15836718495107,-0.588995769360703,-0.160679169898591,0.348025190877425
"Gde",1.45506617655199,1.17572495845977,0.162917440120562,0.76103423137773,0.39820480157261,-1.14923981772738,1.2507374237183,0.427949573492646,0.103523771012644
"Oau",-1.02311528141431,-0.942744733928674,-0.57551700024378,-0.0946951042449817,1.29512985332619,-1.4664854116615,-0.648610337924066,0.127135875070808,-0.516888890686165
"Omo",0.0284174813425036,0.576604742806197,-0.602699391723099,-0.143690133665265,0.966646195333775,-0.0244589999131341,-0.0203367710348187,0.726217454885066,0.442201746727255
"Orh",0.086563395560618,0.0932896391016989,0.0771803523451038,-0.195042167538079,-0.00531383181318719,0.181463916841579,-0.1642260736548,0.0592709954123139,0.381172418318457
"Osi",1.34023086736567,-0.165884273595176,-0.476607569331907,-0.498704230419356,0.111132950535759,-0.408786201985859,-0.709002042692947,-0.320400906294778,0.474037991067564
"Ram",-0.882031320115052,-0.584504889831088,0.340684519632323,-1.04097771499503,0.865631333402034,0.321844859398252,1.01263034052349,-0.558613894968639,0.0939916805697326
"Rse",1.33254835136065,0.323440753118361,-1.03524724648202,-0.537069352611061,0.0708608104695388,0.304765640980992,-0.176895941208588,0.877975847810084,0.233435256651765
"Tec",-0.310086763508347,-0.284573780095084,-1.0633719003004,-1.30399019736991,-0.434665725770748,0.0405514110200187,1.25929974581826,1.03691776142311,0.119610737358072
"Tle",-0.0982252354652486,-0.244364146628689,-1.3353875333513,0.640515816425632,-0.993262247300471,-1.21996339181939,-0.411967004398366,0.140448532290343,-0.971646993443848
"Tni",0.755413766834419,-1.06433769828192,-1.03183102847817,1.62278455828092,-0.187772843641714,1.83114066809813,-0.442312908888933,-0.75369180014377,-1.07015187074416
"Tro",0.730210689072409,-0.278910854663581,-0.808789342166268,0.337983090351839,-0.780083115466314,-0.155393501633666,-0.990417286355231,-0.565725373276238,0.78590341287391
"Etr",0.465973067314968,-0.0469387783971123,0.214816665915883,0.676885651526373,0.228544668316642,-0.0357335014852858,1.007731013502,-0.19104058568608,-1.4290319881667
"Gfl",0.70198202283415,-0.119081203311418,0.535636192444229,0.218740209798517,0.345472834305213,-0.0621409654734064,0.50028229176241,-0.787468925410639,0.300392462113125
"Gsp",0.740971612599875,0.0466275288169896,0.307377935166334,-0.462439217669991,0.00268721249004022,-0.28885177677712,-0.821444507002695,0.184075101802228,0.460450042083666
"Nsc",0.419131091722057,0.250281432769679,0.101846720655478,-0.239944626479274,0.0121297664642489,-0.232086780019818,0.858783036668918,-0.593375492246475,0.116209831008402
"Pbi",0.3587174843068,-0.0973309378406457,-0.269008838927735,0.229720226632147,0.351086064912358,-0.291198561836663,-0.0367321812155944,-0.0855184133649559,-0.412542756061338
"Pha",1.47073892457721,-0.225169995776938,1.35203000038452,0.14018006897831,0.211124075062512,1.50847012878981,0.116287042782677,0.505569483362788,-0.094434473747787
"Stu",0.111346200492607,-0.00466009043868476,0.0370336100013993,-0.0505272822869869,0.0299837055707581,-0.33535600011302,-0.597890185660803,-0.309870279509464,0.635224702744151
"Kgl",0.0766206318849022,0.0823941689370445,-0.108197005392053,-0.0597026149895932,-0.0062321375197849,-0.132946079496173,0.278230519933166,-0.150526726000458,-0.0451391799950457
"Oro",0.11830774037561,0.0517090139050133,-0.0915871624265148,-0.00596079748623013,-0.127674428616322,0.0530764738846516,0.107645642839172,0.256347901566263,-0.114389790185194
"Tor",0.081213154071368,0.0577065256978606,0.159600274934398,0.0241549359289271,-0.0711906917446767,0.0458326849538144,-0.123040045090775,-0.0917835277011803,-0.369390313696005
"Cdi",0.145626675523602,-0.0263041005225,-0.0696969810819028,0.0460051564144588,0.0140793342386337,0.0871872805095598,-0.240389870623217,-0.234178073533333,0.0990979382879391
"Cra",0.448682144623364,-0.0190957288844146,0.327173375909209,0.0292981413238778,0.0808276103773412,0.368731449344571,0.0318201008413666,-0.26322215708663,0.486372688328051
"Ore",0.406150792730671,0.32977647864024,0.121330466882645,-0.51005705824214,-0.174966672014434,-0.174917110641183,0.101705089014678,0.152377883077928,0.46263201978163
"Cgr",0.0529914027261177,0.0973616391176595,-0.323658583125923,-0.201246526073273,-0.176865112146684,0.295591595485454,0.123126316922699,0.168892569640095,0.168255866848415
"Lan",0.483850409233251,0.18453918330997,-0.398016988447073,-0.0158583890024247,-0.412245078825182,-0.141006732714346,-0.154696110846935,-0.32758990442812,0.208569233108801
"Pcl",0.0730665801530848,0.0556336820521633,0.0474122209866174,0.0240083997156696,-0.0286282369725628,0.0489623753203182,0.0909669778114717,0.025248945261441,0.00642554983089182
"Pmi",-0.0352897091040442,0.389698847103963,-0.444301643328311,-0.0497490325193114,0.113333735206181,0.508839706160685,0.525376180986356,0.450756680972319,0.0016814860639104
"Pos",-0.0400294450851473,-0.0274277765065294,0.00348792873108883,-0.190419115247661,-0.138513950784196,-0.227322275982961,0.153489233955891,0.0926203468840741,0.0817696477547293
