"","RDA1","RDA2","RDA3","RDA4","RDA5"
"Agl",-0.379454827594137,2.1198825453761,0.33571169650474,0.407346868542552,-0.969022244778494
"Dbr",-0.824088094449196,0.957244994581178,-1.20901917564659,-2.58820279375739,-0.312661422832209
"Ezo",0.15467870946938,1.56904277029092,0.240285642288066,-1.86917412946253,1.63562852519816
"Gde",0.401979743795851,3.41770679980364,1.3517221813293,-2.07261290115803,1.6346416963837
"Oau",-2.67931781947402,1.79177114720202,1.65317685698937,2.76305351686948,-1.64429271146033
"Omo",-0.224532757387186,0.481345407571084,0.33317639292136,0.109106244541431,-0.82817646890192
"Orh",-0.358960046494365,1.27744444526654,0.21713416752116,1.80479220943716,0.246478350757559
"Osi",-0.587672604079577,2.19028953968992,1.09896337389061,0.82791846786464,-0.208097896281067
"Ram",-1.7166034099266,0.297202391448798,3.30223852461445,-4.64837465709536,-5.30445389721671
"Rse",-1.16284494113148,1.79547744766522,0.0665437054252705,0.531511457403986,1.97770033639862
"Tec",-0.293421810967387,-0.274823948214084,0.39853894977533,0.0882509634967417,-0.109067415585762
"Tle",-0.395426003114293,0.975131421494564,0.663366247278286,0.593252205391861,0.353411642150305
"Tni",-0.71119035601348,1.78832328154838,2.25470669732358,-1.00805109768916,1.04530608331579
"Tro",-0.0685895178915358,1.04844896362939,-1.20468732682145,-0.715510008901314,0.220673694353806
"Dle",0.0904565596160707,0.100356067916737,0.0544481059046508,0.201914925325591,0.00472053677165308
"Etr",-1.03012320993562,-0.0774748803548227,-0.406071159517302,0.173485376444948,0.940103977408949
"Gfl",1.285314156163,1.45173501446714,1.39981591272584,-1.24079202329906,2.01005468294748
"Gsp",2.0647587574903,0.619742072914714,-0.954116576769763,0.404761660495811,-0.664826055042914
"Nsc",0.173567894500959,1.1157104964,0.430529776353475,-0.759456322556514,0.732309431742569
"Pbi",0.803147806222718,1.0802380590076,-0.503604763976069,-0.345742597664225,0.956552441190099
"Pbr",0.374019073723463,-0.369425777022987,0.165501441167795,0.820643558164828,-0.833264898244946
"Pha",3.11214168938339,2.32155054450513,1.95800987386916,0.529204952056285,1.29880074293407
"Stu",0.117081346136091,0.324395562834997,0.195162674643581,-0.291200750019961,0.418162618575764
"Kgl",3.89880955700555,-0.977318689278838,0.861673303143437,-0.85795263454661,0.100133909495384
"Oro",0.0112614374051923,0.00834434123598952,-0.78621674970775,-0.0187886481594105,-0.309481477470741
"Tor",4.58708391153535,-1.50281690693229,3.31532463489249,0.460675996727819,-0.66040346634606
"Cdi",0.0198423359331242,0.180724335742573,-1.88845974722634,-0.643195732191593,-0.122288880507645
"Cra",-0.109370501887057,0.36844083234934,0.267469332735955,-0.413189422279542,-0.123577112379281
"Ore",-0.563573519912212,1.54455985737893,0.435022902169091,2.69790356465823,-0.564576059227462
"Ata",0.178705146185048,-0.149735782256771,0.109126774098501,0.249614679858998,-0.258091321591937
"Cfu",0.736742660371554,-0.0450454836198053,0.580928410256041,0.107293456882641,0.153358792626381
"Cgr",-0.0978951782907357,0.0852221771971804,-1.12998536024168,-0.437709163307232,-0.153613450955388
"Lan",0.277583158799563,1.43955933997651,0.112961497826042,-1.16453051558476,1.58459619638057
"Pcl",0.0192827133641512,0.146720458460799,-0.171900997600668,-0.271244428614495,0.176294453002856
"Pmi",0.868891154241389,0.333900507830222,-0.866451292822637,-0.81499456901009,0.212868234226768
"Pos",0.339785681778652,0.451226578052474,0.429269996846359,-0.596602858328659,1.13112573733805
"Pse",0.265753067497204,-0.145784589751943,-1.43944492851547,0.0495716533044881,-0.746618074073461
"Cden",0.455499641481094,0.464888101762453,0.494607003803261,0.342671083526336,0.475690905982047
"Aco",-0.115584178346228,0.289612586842133,0.372221505380696,-0.206797524314101,-0.0259807519271521
"Dip",-0.698534064650145,-1.5667827803836,-0.215611317582974,0.0519574531656368,1.97607319709656
"Csu",-2.37922362736199,-3.13665023081418,2.875733685395,-1.94071297268012,1.24782308683011
"Mnu",-1.91665055167755,-2.96478881165743,1.21485560276789,-0.564368780124927,2.83307519942325
"Pco",0.0167609715614323,0.210700353259152,-0.120280158589315,0.0492858088610688,0.122844292001808
"Cdeb",-0.00574472241928433,0.97059116479771,-2.64804299608955,-1.16683996252347,-0.0456477673988766
"Cwa",0.025924114961115,0.217012303408785,-0.268092712489707,-0.288941061089632,0.103514474027325
"Pba",0.247522309240632,-0.197513662671266,0.107457251699217,0.170507872179373,-0.301776588377368
"Dac",0.48915358160099,-0.356102737608354,-0.711793833375492,-0.135339164502909,-0.453253095334899
"Ptr",-0.185273520533663,1.11750687115157,-2.07995800905521,-1.50527049621581,-0.158543583928441
"Lun",-0.602149150087937,0.839764513930395,-0.0813751804223911,1.04847829376964,-0.989389756702596
"Nsi",-0.00195686733094797,-0.851646606109306,0.299199553334045,0.616548073024539,0.561025120046518
"Rst",0.37110427362471,-0.160596912347551,0.301276319928301,0.534419631985524,-0.376183162887709
"Pst",0.361833818647773,-0.250459027953808,-0.343101621791809,0.226207633238335,-0.521340939444386
"Acn",-0.604289695961541,-0.824033433495446,0.534251430836599,-0.12570437452978,1.45013638063537
"Tno",-0.0254397683119506,0.198243987753336,-0.901930269752103,-0.236752306405158,0.0172762847692024
"Ccu",-0.0453741427258037,-0.385059092730957,-2.08388938559342,-0.375144944340352,-0.855383361552084
"Pan",0.142690347085955,0.0867419693131164,0.199081767852661,-0.202283781282446,0.343946153028456
"Gfa",-0.844751016927349,-1.38024083058236,0.552451345858976,0.551980874563004,2.23884551458205
"Hta",0.0771933222114841,0.262752866918417,0.257526173012751,0.343452964460781,0.0548344738875495
"Dsp",0.615128694275264,-0.330731990593938,0.319762129295186,0.39131914888741,-0.485918814668848
"Psu",0.0498015796411315,0.360578100861777,0.00926652780946403,-0.235365510361906,0.214098606264324
"Cei",0.152389674418284,0.298706532736473,0.164033422197374,-0.132610112894763,0.46996570038538
"Ndi",0.2535035021042,-0.138283999047928,0.215858284152892,-0.19843548903595,0.301985105973403
"Cda",-0.0805658242937307,0.427037600954585,0.944500687369269,-0.264489591626571,-1.46043989008675
"Dro",0.579482679905198,-0.121968421477922,0.447109881989332,0.225306948229971,-0.125866963147963
"Cha",0.0578680586963693,0.0704799025040599,0.0605282019208792,0.222663814085499,-0.262732935997193
"Pac",-0.467265985994664,0.203058743219243,-0.464920975105079,0.0493469030391218,-0.437356643431728
"Cau",0.328455396170883,-0.140287329495827,0.239171261912305,0.405416767710779,-0.287045206200352
"Coc",0.425723085562544,-0.39553849771154,-0.869686527886315,0.359669678208804,-0.99412904834396
"Pte",0.623420756648889,-0.763523959375861,0.477979635992521,1.68149127908261,-1.14601492650846
"Edu",-2.19924356161642,1.1449517520109,2.04012533619388,2.02630684676088,0.28479159028083
"Mpe",0.985946187443557,-0.73897067595555,0.63822460757305,1.28453162756668,-1.34688298451066
"Pde",0.215911796045313,-0.118622685546078,0.156822384317053,0.235131103960891,-0.258448885206304
"Plo",-0.0974442684738519,0.531931617313534,-0.133986799378306,-0.619306015036407,0.109805728389026
"Dpu",0.0457836045778804,0.181991053513035,-0.0957717649985964,-0.256963832594116,0.120863653878598
"Rte",0.215585254744213,0.00863755231810582,0.178020814311536,-0.107821618028896,0.0360560600436961
"Fja",-0.0399462783495126,0.56367079406092,0.14327666130153,0.108765574134703,-0.0180224989064845
"Hak",0.0261819535310225,0.114720648772711,-0.23290868974208,-0.170506288484085,0.101670033685304
"Mhe",-0.448816574713716,0.688737132637295,0.157965442669016,1.97567862344738,0.445865580274137
"Dno",0.11079441152789,-0.114574126822097,0.0737309148713961,0.242517748984143,-0.248038735265705
